,texts
0,"https://www.nasdaq.com/articles/Ex-Dividend-Reminder:-Office-Properties-Income-Trust,-Verizon-Communications-and-Omega-Flex-
"
1,"https://www.nasdaq.com/articles/30-Top-Stocks-and-Funds-to-Beat-the-COVID-19-Bear-Market
"
2,"https://www.nasdaq.com/articles/3-Top-Stocks-to-Buy-With-Dividends-Yielding-More-Than-3%
"
3,"https://www.nasdaq.com/articles/The-T-Mobile-Quibi-Partnership-is-Brilliant-...-and-a-Huge-Missed-Opportunity-for-AT&T
"
4,"https://www.nasdaq.com/articles/3-Recession-Ready-Stocks-to-Buy-in-April
"
5,"https://www.nasdaq.com/articles/How-to-Spend-Your-Financial-Health-Day
"
6,"https://www.nasdaq.com/articles/Where-Will-T-Mobile-Be-in-1-Year?
"
7,"https://www.nasdaq.com/articles/7-Telecom-Stocks-That-Are-Worth-a-Close-Look
"
8,"https://www.nasdaq.com/articles/Can-Rates-Go-Any-Lower?
"
9,"https://www.nasdaq.com/articles/What-Happens-If-the-Apple-5G-iPhone-Is-Delayed?
"
10,"https://www.nasdaq.com/articles/Hulu-Founder-and-Former-CEO-to-Head-Up-AT&T's-WarnerMedia
"
11,"https://www.nasdaq.com/articles/T-Mobile-Completes-Sprint-Merger,-CEO-Switch
"
12,"https://www.nasdaq.com/articles/Better-Buy:-Verizon-Communications-vs.-T-Mobile
"
13,"https://www.nasdaq.com/articles/3-Top-Dividend-Stocks-to-Buy-Right-Now
"
14,"https://www.nasdaq.com/articles/iShares-Russell-1000-ETF-Experiences-Big-Inflow
"
15,"https://www.nasdaq.com/articles/ViacomCBS-Offers-Free-Streaming-Service-During-Pandemic
"
16,"https://www.nasdaq.com/articles/3-Unknown-but-Amazing-Dividend-Stocks
"
17,"https://www.nasdaq.com/articles/3-Coronavirus-Proof-Dividend-Stocks-That-Are-Perfect-for-Retirees
"
18,"https://www.nasdaq.com/articles/Should-You-Buy-These-3-Stocks-at-Their-52-Week-Lows?
"
19,"https://www.nasdaq.com/articles/Best-ETFs-for-2020:-Communication-Services-SPDR-Fund-Is-a-Rebound-Play
"
