,texts
0,"https://www.nasdaq.com/articles/BUZZ-U.S.-STOCKS-ON-THE-MOVE-Activision-Blizzard,-Gilead-Sciences,-Royal-Caribbean,-Kohl's
"
1,"https://www.nasdaq.com/articles/Dow-Movers:-WMT,-AXP
"
2,"https://www.nasdaq.com/articles/Walgreens-to-expand-drive-through-coronavirus-testing-sites
"
3,"https://www.nasdaq.com/articles/Consumer-Sector-Update-for-04/07/2020:-NIO,-APRN,-TSCO,-WMT,-MCD,-DIS,-CVS,-KO
"
4,"https://www.nasdaq.com/articles/Kroger-Follows-Walmart,-Target-in-Limiting-Amount-of-Customers-in-Stores
"
5,"https://www.nasdaq.com/articles/Indian-traders-ask-court-for-Amazon,-Flipkart-antitrust-probe-restart
"
6,"https://www.nasdaq.com/articles/Britain's-supermarkets-wrestle-with-coronavirus-demand-conundrum
"
7,"https://www.nasdaq.com/articles/Why-SmileDirectClub-Stock-Lost-38%-in-March
"
8,"https://www.nasdaq.com/articles/Dow-Jones-News:-IBM's-New-CEO-Starts-Today;-Walmart-Limits-Customers-in-Stores
"
9,"https://www.nasdaq.com/articles/CVS-ramps-up-drive-through-coronavirus-testing-sites-with-faster-kits
"
10,"https://www.nasdaq.com/articles/Coronavirus-Inspired-Panic-Shopping-Spikes-Walmart-Sales-20%-in-March
"
11,"https://www.nasdaq.com/articles/Consumer-Sector-Update-for-04/06/2020:-XSPA,-SMPL,-TSLA,-WMT,-MCD,-DIS,-CVS,-KO
"
12,"https://www.nasdaq.com/articles/Are-There-Any-Safe-Haven-Investments-Amid-The-Pandemic?
"
13,"https://www.nasdaq.com/articles/Better-Buy:-Walmart-vs.-Costco
"
14,"https://www.nasdaq.com/articles/EXCLUSIVE-Amazon-in-contact-with-coronavirus-test-makers-for-potential-screenings-on-employees
"
15,"https://www.nasdaq.com/articles/Walmart-Will-Emerge-From-the-Coronavirus-Pandemic-Stronger-Than-Ever
"
16,"https://www.nasdaq.com/articles/Kroger,-Walmart-Testing-One-Way-Grocery-Aisles-to-Improve-Social-Distancing
"
17,"https://www.nasdaq.com/articles/3-Retail-Stocks-To-Buy-That-Should-Be-On-Your-Grocery-List
"
18,"https://www.nasdaq.com/articles/How-to-Pick-the-Best-Stocks-to-Buy-During-The-Coronavirus-Sell-Off
"
19,"https://www.nasdaq.com/articles/Consumer-Sector-Update-for-04/03/2020:-TSLA,-STZ,-CHWY,-WMT,-MCD,-DIS,-CVS,-KO
"
