,texts
0,"https://www.nasdaq.com/articles/3-Great-Stocks-Under-$10-a-Share
"
1,"https://www.nasdaq.com/articles/2-Incredibly-Cheap-Social-Distancing-Stocks
"
2,"https://www.nasdaq.com/articles/How-Consumers-Are-Spending-Their-Time-in-Self-Isolation
"
3,"https://www.nasdaq.com/articles/3-Big-Stock-Charts-for-Thursday:-Akamai,-Zynga,-and-U.S.-Cellular
"
4,"https://www.nasdaq.com/articles/Oppenheimer:-These-2-Stocks-Are-Poised-to-Soar-by-at-Least-20%-Despite-Market-Chaos
"
5,"https://www.nasdaq.com/articles/How-to-Invest-in-a-Bear-Market:-Thoughts-From-David-Gardner
"
6,"https://www.nasdaq.com/articles/Look-Under-The-Hood:-UGE-Has-16%-Upside
"
7,"https://www.nasdaq.com/articles/3-Great-Stocks-Under-$10-a-Share
"
8,"https://www.nasdaq.com/articles/Can-Electronic-Arts-Stock-Grow-10%-From-The-Current-Levels?
"
9,"https://www.nasdaq.com/articles/Glu-Mobile-Surged-on-Earnings:-Is-It-Time-to-Believe-in-the-Turnaround?
"
10,"https://www.nasdaq.com/articles/How-Large-Is-Activision-Blizzard's-Mobile-Gaming-Business?
"
11,"https://www.nasdaq.com/articles/3-Surprising-Stocks-Hitting-New-Highs-This-Week
"
12,"https://www.nasdaq.com/articles/Technology-Sector-Update-for-02/06/2020:-PRSP,ZNGA,TWTR,PRLB
"
13,"https://www.nasdaq.com/articles/Technology-Sector-Update-for-02/06/2020:-ZNGA,TWTR,PRLB
"
14,"https://www.nasdaq.com/articles/Noteworthy-Wednesday-Option-Activity:-JNJ,-ZNGA,-VMW
"
15,"https://www.nasdaq.com/articles/ZNGA-Stock-Earnings-Preview:-Will-the-Gaming-Growth-Strategy-Pay-Off?
"
16,"https://www.nasdaq.com/articles/3-Monster-Growth-Stocks-That-Are-Ready-for-the-Next-Leg-Higher
"
17,"https://www.nasdaq.com/articles/3-Great-Stocks-Under-$10-a-Share
"
18,"https://www.nasdaq.com/articles/The-Big-Dogs-Threaten-to-Make-Zynga-Stock-a-Tad-Too-Exciting
"
19,"https://www.nasdaq.com/articles/3-Hot-Stocks-to-Buy-in-January
"
