Symbol,Name,Market Cap
ATVI,"Activision Blizzard, Inc. Common Stock","46,13,79,07,010"
ADBE,Adobe Inc. Common Stock,"1,41,46,15,47,569"
AMD,"Advanced Micro Devices, Inc. Common Stock","49,86,65,99,329"
ALXN,"Alexion Pharmaceuticals, Inc. Common Stock","19,93,79,17,000"
ALGN,"Align Technology, Inc. Common Stock","12,14,37,37,426"
GOOG,Alphabet Inc. Class C Capital Stock,"7,54,55,76,52,489"
GOOGL,Alphabet Inc. Class A Common Stock,"7,50,99,75,10,543"
AMZN,"Amazon.com, Inc. Common Stock","9,49,12,04,14,426"
AAL,American Airlines Group Inc. Common Stock,"4,00,06,91,606"
AMGN,Amgen Inc. Common Stock,"1,21,15,22,18,691"
ADI,"Analog Devices, Inc. Common Stock","31,87,31,31,077"
ANSS,"ANSYS, Inc. Common Stock","18,68,21,97,827"
AAPL,Apple Inc. Common Stock,"10,56,28,46,26,800"
AMAT,"Applied Materials, Inc. Common Stock","38,82,59,40,220"
ASML,ASML Holding N.V. New York Registry Shares,"1,04,12,06,20,195"
ADSK,"Autodesk, Inc. Common Stock","30,51,34,78,075"
ADP,"Automatic Data Processing, Inc. Common Stock","55,51,06,44,180"
BIDU,"Baidu, Inc. ADS","33,61,64,53,788"
BIIB,Biogen Inc. Common Stock,"52,30,79,75,946"
BMRN,BioMarin Pharmaceutical Inc. Common Stock,"15,15,15,34,944"
BKNG,Booking Holdings Inc. Common Stock,"50,53,39,53,254"
AVGO,Broadcom Inc. Common Stock,"93,65,51,20,480"
CDNS,"Cadence Design Systems, Inc. Common Stock","17,95,36,69,417"
CDW,CDW Corporation Common Stock,"12,40,54,19,024"
CERN,Cerner Corporation Common Stock,"19,42,43,60,081"
CHTR,"Charter Communications, Inc. Class A Common Stock New","1,01,59,40,48,677"
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,"14,96,66,66,031"
CTAS,Cintas Corporation Common Stock,"17,08,81,64,674"
CSCO,"Cisco Systems, Inc. Common Stock","1,65,64,87,79,089"
CTXS,"Citrix Systems, Inc. Common Stock","17,29,28,79,601"
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,"23,81,08,50,400"
CMCSA,Comcast Corporation Class A Common Stock,"1,54,57,55,26,198"
CPRT,"Copart, Inc. (DE) Common Stock","14,44,29,98,664"
CSGP,"CoStar Group, Inc. Common Stock","19,30,26,13,635"
COST,Costco Wholesale Corporation Common Stock,"1,27,46,20,53,145"
CSX,CSX Corporation Common Stock,"43,75,32,70,396"
DLTR,Dollar Tree Inc. Common Stock,"16,63,35,93,472"
EBAY,eBay Inc. Common Stock,"23,41,27,37,093"
EA,Electronic Arts Inc. Common Stock,"29,78,72,08,372"
EXC,Exelon Corporation Common Stock,"31,89,62,02,522"
EXPE,"Expedia Group, Inc. Common Stock","6,81,88,70,279"
FB,"Facebook, Inc. Class A Common Stock","4,39,48,24,82,605"
FAST,Fastenal Company Common Stock,"17,50,75,96,603"
FISV,"Fiserv, Inc. Common Stock","58,29,34,13,458"
FOX,Fox Corporation Class B Common Stock,"13,10,15,27,212"
FOXA,Fox Corporation Class A Common Stock,"13,53,23,78,732"
GILD,"Gilead Sciences, Inc. Common Stock","98,46,75,76,446"
IDXX,"IDEXX Laboratories, Inc. Common Stock","19,98,95,08,270"
ILMN,"Illumina, Inc. Common Stock","38,73,45,00,000"
INCY,Incyte Corp. Common Stock,"17,03,63,89,217"
INTC,Intel Corporation Common Stock,"2,31,70,47,40,303"
INTU,Intuit Inc. Common Stock,"56,88,82,93,825"
ISRG,"Intuitive Surgical, Inc. Common Stock","53,99,33,41,977"
JD,"JD.com, Inc. American Depositary Shares","58,32,54,62,675"
KLAC,KLA Corporation Common Stock,"20,05,74,35,012"
LRCX,Lam Research Corporation Common Stock,"31,75,13,98,731"
LBTYA,Liberty Global plc Class A Ordinary Shares,"9,99,51,44,922"
LBTYK,Liberty Global plc Class C Ordinary Shares,"9,38,78,44,978"
LULU,lululemon athletica inc. Common Stock,"23,59,24,21,294"
MAR,Marriott International Class A Common Stock,"19,15,45,95,319"
MXIM,"Maxim Integrated Products, Inc. Common Stock","13,10,33,33,110"
MELI,"MercadoLibre, Inc. Common Stock","22,59,16,83,249"
MCHP,Microchip Technology Incorporated Common Stock,"15,67,03,57,328"
MU,"Micron Technology, Inc. Common Stock","45,84,43,07,167"
MSFT,Microsoft Corporation Common Stock,"11,70,03,82,11,548"
MDLZ,"Mondelez International, Inc. Class A Common Stock","72,61,41,74,360"
MNST,Monster Beverage Corporation,"29,11,05,08,819"
NTAP,"NetApp, Inc. Common Stock","8,25,87,50,263"
NTES,"NetEase, Inc. American Depositary Shares","41,58,72,39,200"
NFLX,"Netflix, Inc. Common Stock","1,58,74,26,93,342"
NVDA,NVIDIA Corporation Common Stock,"1,49,27,29,20,000"
NXPI,NXP Semiconductors N.V. Common Stock,"21,19,11,12,419"
ORLY,"O'Reilly Automotive, Inc. Common Stock","21,93,24,26,679"
PCAR,PACCAR Inc. Common Stock,"21,34,12,17,343"
PAYX,"Paychex, Inc. Common Stock","21,36,15,04,154"
PYPL,"PayPal Holdings, Inc. Common Stock","1,08,36,93,57,259"
PEP,"PepsiCo, Inc. Common Stock","1,73,08,55,35,318"
QCOM,QUALCOMM Incorporated Common Stock,"74,56,06,82,235"
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock","54,27,49,72,176"
ROST,"Ross Stores, Inc. Common Stock","26,60,32,87,370"
SGEN,"Seattle Genetics, Inc. Common Stock","20,10,97,75,715"
SIRI,Sirius XM Holdings Inc. Common Stock,"19,77,44,71,248"
SWKS,"Skyworks Solutions, Inc. Common Stock","13,61,58,94,526"
SPLK,Splunk Inc. Common Stock,"16,20,14,17,997"
SBUX,Starbucks Corporation Common Stock,"74,00,17,85,000"
SNPS,"Synopsys, Inc. Common Stock","18,71,07,90,287"
TMUS,"T-Mobile US, Inc. Common Stock","1,01,32,17,74,633"
TTWO,"Take-Two Interactive Software, Inc. Common Stock","13,43,96,48,032"
TSLA,"Tesla, Inc. Common Stock","88,50,86,05,171"
TXN,Texas Instruments Incorporated Common Stock,"93,34,98,74,490"
KHC,The Kraft Heinz Company Common Stock,"30,93,48,83,290"
TCOM,Trip.com Group Limited American Depositary Shares,"12,95,10,68,735"
ULTA,"Ulta Beauty, Inc. Common Stock","8,82,59,47,268"
UAL,"United Airlines Holdings, Inc. Common Stock","5,67,43,61,290"
VRSN,"VeriSign, Inc. Common Stock","21,26,83,56,555"
VRSK,"Verisk Analytics, Inc. Common Stock","23,09,97,07,893"
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,"61,78,62,98,398"
WBA,"Walgreens Boots Alliance, Inc. Common Stock","35,72,04,06,340"
WDC,Western Digital Corporation Common Stock,"11,42,21,73,991"
WLTW,Willis Towers Watson Public Limited Company Ordinary Shares,"20,22,07,42,775"
WDAY,"Workday, Inc. Class A Common Stock","26,93,05,60,000"
XEL,Xcel Energy Inc. Common Stock,"30,35,73,49,729"
XLNX,"Xilinx, Inc. Common Stock","19,67,79,95,244"
